"Timestamp","Køn (Gender) ","Alder (Age)","Hvor gammel var du, da du blev seksuelt aktiv? (How old were you when you first became sexually active?)","Hvad er din civilstatus? (What is your relationship status?) ","Er du i et åbent forhold? (Are you in an open relationship?)","Hvor tilfreds er du med dit sexliv? (How satisfied are you with your sex life?)","Hvor seksuelt eventyrlysten vil du sige, at du er? (How sexually adventurous would you say you are?)","Er du seksuelt aktiv i øjeblikket? (Are you currently sexually active?)","Hvor ofte har du normalt sex? (How often do you usually have sex?)","Onanerer du? (Do you masturbate?)","Hvor ofte plejer du at onanere? (How often do you usually masturbate?)","Ser du porno? (Do you watch porn?)","Hvor ofte ser du normalt porno? (How often do you usually watch porn?)","Har du nogensinde været i swingerklub? (Have you ever been to a swinger club?)","Sæt kryds ved alle du har besøgt. (Which one(s)? Check all that apply.)","Hvor mange gange har du været i swingerklub? (How many times have you been to a swinger club?) ","Hvordan fandt du klubben? (How did you find out about the club?) ","Ved dine venner at du swinger? ","Har klubben påvirket dine seksuelle interesser? (Has the club affected your sexual interests?)","Hvordan har det påvirket dine seksuelle interesser? (How as it affected your sexual interests?)","Har du nogensinde været til en sexfest? (Have you ever been to a sex party?)","Hvor mange gange har du været til sexfest? (How many times have you been to a sex party?) ","Hvordan fandt du disse sexfester? (How did you find out about these sex parties?) ","Ved dine venner, at du går til sexfester? (Do your friends know you go to sex parties?)","Har det påvirket dine seksuelle interesser? (Has it affected your sexual interests?)","Hvordan har det påvirket dine seksuelle interesser? (How as it affected your sexual interests?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gør du dette? (How often do you do this?)","Skriv eventuelle manglende kinks/interesser du har. (Write in any missing kinks/interests you participate in.) ","Hvor tror du, at dine seksuelle interesser kommer fra? (marker alt hvad der er relevant) (Where do you think your sexual interests have come from? (check all that apply))","Hvis du har andet du vil dele, eller kommentarer, kan du skrive dem her. (Any final thoughts you want to share?)"
"2022/06/02 9:23:17 PM GMT+2","Mand (Man)","41","18","I et forhold (In a relationship)","Ja (yes)","7","9","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan;Dark Secret;CitySwingers;CitySwingers 2;Swingergaarden;Afrodite club;Joys","10+","Søgt online (Searched online)","Ja (Yes)","Nej (No)","","Ja, Yes","10+","Sociale medie (Social media)","Ja (Yes)","Nej (No)","","Ja (Yes)","8","5","Ja (Yes)","5","2","Ja (Yes)","5","2","Ja (Yes)","7","3","Ja (Yes)","7","4","Ja (Yes)","6","4","Ja (Yes)","4","3","Ja (Yes)","9","6","Ja (Yes)","8","5","Ja (Yes)","7","4","Ja (Yes)","6","5","Nej (No)","","","Ja (Yes)","7","4","Ja (Yes)","8","4","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","6","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Igennem min egen fantasi sammen med partnere og deres fantasi ",""
"2022/06/02 9:35:08 PM GMT+2","Mand (Man)","50","18","I et forhold (In a relationship)","Nej (No)","9","8","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","En gang om måned (Once a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","","","","","","Ja, Yes","1","Min partner eller en tidligere partner (My partner or a previous partner)","Nej (No)","Ja (Yes)","I positiv retning. Jeg er blevet mere åben omkring sex","Nej (No)","","","Ja (Yes)","7","4","Ja (Yes)","8","6","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","2","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 9:35:29 PM GMT+2","Mand (Man)","44","15","I et forhold (In a relationship)","Nej (No)","7","9","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan;CitySwingers;Joys","10+","Søgt online (Searched online)","Ja (Yes)","Nej (No)","","Ja, Yes","2-5","Sociale medie (Social media)","Ja (Yes)","Nej (No)","","Ja (Yes)","8","8","Ja (Yes)","5","3","Ja (Yes)","9","2","Nej (No)","","","Ja (Yes)","6","2","Ja (Yes)","5","2","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","3","Ja (Yes)","8","8","Nej (No)","","","Ja (Yes)","9","5","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","5","Ville ikke svare ja til hanrej, da definitionen ikke passer til hanrej.
Stag/Vixen derimod, ja. ","Porno (porn)",""
"2022/06/02 9:36:06 PM GMT+2","Kvinde (Woman)","44","16","I et forhold (In a relationship)","Ja (yes)","9","9","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Nej (No)","","Ja (Yes)","Tucan;Swingland;CitySwingers;CitySwingers 2;Swingergaarden","10+","Søgt online (Searched online)","Ja (Yes)","Ja (Yes)","Man udvikler sig hele livet og finder nye interesser og rykker grænser","Ja, Yes","2-5","Sociale medie (Social media)","Ja (Yes)","Nej (No)","","Ja (Yes)","8","8","Ja (Yes)","9","7","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","8","Ja (Yes)","8","6","Ja (Yes)","7","4","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","7","Ja (Yes)","8","4","Ja (Yes)","6","1","Ja (Yes)","7","4","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","6","Ja (Yes)","7","2","Jeg er Brat, så nyder mindfuck mere end kontrol og smerte","Det er en udvikling, der sker, når man føler sig tryg i miljøet og er tro mod sig selv","Husk at der også er masser af vanilie, tantra og kærstesex i miljøet"
"2022/06/02 9:37:10 PM GMT+2","Kvinde (Woman)","52","16","Gift (Married","Ja (yes)","8","8","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Nej (No)","","Nej (No)","","Ja (Yes)","Tucan;Dark Secret;Afrodite club;Joys","10+","Venner (Friends)","Ja (Yes)","Ja (Yes)","Mine grænser har rykket sig stille og roligt. Modet til at stå ved mine inderste lyster er positivt påvirket. ","Ja, Yes","10+","All of the above ;)","Ja (Yes)","Ja (Yes)","Bdsm i mild grad blev introduceret på denne måde","Ja (Yes)","9","4","Ja (Yes)","9","3","Ja (Yes)","8","3","Nej (No)","","","Ja (Yes)","8","4","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","2","Nej (No)","","","Ja (Yes)","8","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Har altid været seksuelt orienteret trods opdragelse med skam og skyld i den forbindelse",""
"2022/06/02 9:38:51 PM GMT+2","Kvinde (Woman)","39","12","Single","Nej (No)","9","10","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om året (A few times a year)","Ja (Yes)","Tucan","2-5","Af omtale","Nej (No)","Ja (Yes)","Det åbnet en mulighed for at udfordre fantasier som ingen andre steder tilbyder ","Nej, No","","","","","","Ja (Yes)","9","8","Ja (Yes)","8","2","Ja (Yes)","8","3","Nej (No)","","","Ja (Yes)","7","5","Ja (Yes)","9","2","Ja (Yes)","5","2","Ja (Yes)","9","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","5","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 9:41:16 PM GMT+2","Kvinde (Woman)","35","12","Partnerskab ","Nej (No)","10","10","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan;Dark Secret","6-10","Venner (Friends)","Nej (No)","Nej (No)","","Ja, Yes","2-5","Venner (Friends)","Nej (No)","Nej (No)","","Ja (Yes)","10","8","Ja (Yes)","10","8","Ja (Yes)","10","8","Ja (Yes)","10","4","Ja (Yes)","10","10","Nej (No)","","","Ja (Yes)","10","2","Ja (Yes)","8","2","Ja (Yes)","10","6","Ja (Yes)","10","7","Ja (Yes)","8","5","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","6","Nej (No)","","","Primal play","Det er vist noget at jeg har haft i mig så længe at jeg kan huske ",""
"2022/06/02 9:49:30 PM GMT+2","Kvinde (Woman)","24","16","I et forhold (In a relationship)","Nej (No)","8","7","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","7","3","Ja (Yes)","9","2","Ja (Yes)","4","2","Ja (Yes)","3","2","Ja (Yes)","6","3","Ja (Yes)","1","1","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","5","Ja (Yes)","3","5","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","3","1","Nej (No)","","","","Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 9:54:55 PM GMT+2","Mand (Man)","46","15","Gift (Married","Nej (No)","8","10","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan;Afrodite club;Joys;Fun4two","10+","Søgt online (Searched online)","Ja (Yes)","Ja (Yes)","Udvidet min horisont","Ja, Yes","10+","Venner (Friends)","Ja (Yes)","Ja (Yes)","Udvidet min horisont","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","8","Ja (Yes)","6","3","Ja (Yes)","8","5","Nej (No)","","","Ja (Yes)","9","5","Ja (Yes)","7","3","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","8","Ja (Yes)","2","4","Ja (Yes)","10","5","Ja (Yes)","10","5","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Gruppe onani med begge køn samtidig ","Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Klubber og fester",""
"2022/06/02 9:55:23 PM GMT+2","Mand (Man)","24","18","Single","Nej (No)","3","2","Nej (No)","","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","","","","","","Nej, No","","","","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","5","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","5","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","5","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 9:55:54 PM GMT+2","Kvinde (Woman)","51","15","I et forhold (In a relationship)","Nej (No)","10","10","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Nej (No)","","Nej (No)","","Ja (Yes)","Tucan;Joys;Clubber i Hamborg","10+","Venner (Friends)","Ja (Yes)","Ja (Yes)","Jeg har prøvet nye ting af fx. Bondage og tantra","Ja, Yes","6-10","Venner (Friends)","Nej (No)","Ja (Yes)","Jeg er blevet mere åben","Ja (Yes)","6","4","Ja (Yes)","9","4","Ja (Yes)","10","8","Nej (No)","","","Ja (Yes)","8","3","Nej (No)","","","Ja (Yes)","7","5","Ja (Yes)","10","4","Ja (Yes)","9","3","Ja (Yes)","9","4","Ja (Yes)","10","9","Nej (No)","","","Ja (Yes)","7","3","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","2","Ja (Yes)","9","3","Nej (No)","","","","",""
"2022/06/02 10:01:41 PM GMT+2","Kvinde (Woman)","45","14","Gift (Married","Ja (yes)","9","8","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan;Swingland;Dark Secret;CitySwingers;Afrodite club","10+","Sociale medie (Social media)","Ja (Yes)","Ja (Yes)","Jeg har fået afpræbet noget at det jeg kun havde drømt om inden og jeg har fået øjene op for mange flere mulighederne, jeg er blandt andet også begyndt at lege seriøst med BDSM","Ja, Yes","10+","Sociale medie (Social media)","Ja (Yes)","Ja (Yes)","På samme måde som klub, det har flyttet mine grænser","Ja (Yes)","10","8","Ja (Yes)","10","8","Ja (Yes)","10","8","Ja (Yes)","7","5","Ja (Yes)","9","8","Nej (No)","","","Ja (Yes)","8","7","Ja (Yes)","9","8","Ja (Yes)","9","8","Ja (Yes)","10","8","Ja (Yes)","10","9","Nej (No)","","","Ja (Yes)","9","7","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","7","Ja (Yes)","8","5","Ja (Yes)","10","10","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 10:03:52 PM GMT+2","Mand (Man)","23","19","I et forhold (In a relationship)","Nej (No)","8","7","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","7","7","Ja (Yes)","9","3","Ja (Yes)","5","2","Ja (Yes)","7","3","Ja (Yes)","9","5","Ja (Yes)","6","1","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","7","Ja (Yes)","5","5","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Cosplay/Dressup/lingerie, oralsex","Porno (porn);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 10:04:23 PM GMT+2","Kvinde (Woman)","36","17","Gift (Married","Nej (No)","4","6","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","Ja (Yes)","Tucan;Joys","10+","Søgt online (Searched online)","Ja (Yes)","Ja (Yes)","Mere eventyrlysten - kom fra slukket lys i soveværelset. Åbnet min verden for bdsm","Ja, Yes","1","Sociale medie (Social media)","Ja (Yes)","Nej (No)","","Ja (Yes)","8","2","Ja (Yes)","6","1","Ja (Yes)","6","4","Nej (No)","","","Ja (Yes)","5","2","Nej (No)","","","Ja (Yes)","9","8","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","2","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","2","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","4","","Tucan",""
"2022/06/02 10:09:41 PM GMT+2","Kvinde (Woman)","25","1314","I et forhold (In a relationship)","Ja (yes)","10","10","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan;Joys;Sex bio i aalborg","10+","Venner (Friends)","Ja (Yes)","Ja (Yes)","Jeg har udforsket og blevet introduceret for BDSM miljøet igennem swingermiløjet og vil aldrig have været foruden det ❤️  ","Ja, Yes","10+","Venner, scor, veninder eller igennem swingermiljøet","Ja (Yes)","Nej (No)","","Ja (Yes)","10","6","Ja (Yes)","10","3","Ja (Yes)","10","3","Ja (Yes)","10","7","Ja (Yes)","10","8","Ja (Yes)","10","4","Ja (Yes)","10","9","Ja (Yes)","10","8","Ja (Yes)","10","4","Ja (Yes)","10","3","Ja (Yes)","10","7","Ja (Yes)","5","2","Ja (Yes)","10","4","Ja (Yes)","10","4","Ja (Yes)","10","3","Nej (No)","","","Ja (Yes)","10","6","Nej (No)","","","Luder leg. Penge for sex","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Nysgerrighed, snak og interesse. ","5-6 år i swingermiljøet. Startede da jeg var 20"
"2022/06/02 10:15:58 PM GMT+2","Kvinde (Woman)","43 år ","16 år","Gift (Married","Nej (No)","9","9","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Nej (No)","","Ja (Yes)","Et par gange om året (A few times a year)","Ja (Yes)","Tucan;Dark Secret","10+","Søgt online (Searched online)","Nej (No)","Nej (No)","","Nej, No","","","","","","Ja (Yes)","10","10","Ja (Yes)","10","10","Ja (Yes)","7","7","Nej (No)","","","Ja (Yes)","9","6","Nej (No)","","","Ja (Yes)","9","9","Ja (Yes)","9","6","Ja (Yes)","10","10","Ja (Yes)","10","10","Ja (Yes)","10","8","Ja (Yes)","8","4","Ja (Yes)","9","8","Ja (Yes)","8","5","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","9","Needle play, fireplay","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 10:19:15 PM GMT+2","Kvinde (Woman)","33","11","Engaged ","Nej (No)","8","9","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Nej (No)","","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","5","5","Nej (No)","","","Ja (Yes)","9","9","Ja (Yes)","8","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","4","3","Nej (No)","","","Ja (Yes)","6","2","Ja (Yes)","8","2","Nej (No)","","","Ja (Yes)","8","4","Ja (Yes)","9","9","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Abuse ","No questions about dislike. Only about like. "
"2022/06/02 10:20:13 PM GMT+2","Kvinde (Woman)","50","15","Single","Nej (No)","9","9","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","3-5 dage om ugen (3-5 days a week_","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan;Dark Secret;Joys","10+","Venner (Friends)","Ja (Yes)","Ja (Yes)","Er gået fra vanille til at være mere nysgerrig på min krop . Heldig at opleve nye lege og finde ud af hvad JEG har lyst til","Ja, Yes","10+","Sociale medie (Social media)","Ja (Yes)","Ja (Yes)","Og ha muligheden for at opleve et frit netværk, hvor jeg ikke skal gemme mine lyster væk og kunne sige hvad jeg har lyst til at prøve. Blive anerkendt og komplimenteret og føle sig lækker","Ja (Yes)","10","8","Ja (Yes)","10","6","Ja (Yes)","9","6","Nej (No)","","","Ja (Yes)","10","8","Nej (No)","","","Ja (Yes)","2","1","Ja (Yes)","9","8","Ja (Yes)","9","7","Ja (Yes)","8","6","Ja (Yes)","8","8","Ja (Yes)","8","2","Ja (Yes)","10","7","Ja (Yes)","6","2","Nej (No)","","","Ja (Yes)","10","7","Ja (Yes)","10","7","Ja (Yes)","10","5","Fistning vaginalt og analt. At sprøjte og mine egne væsker bliver samlet og dryppet over min krop,","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 10:20:28 PM GMT+2","Kvinde (Woman)","21","16","I et forhold (In a relationship)","Nej (No)","8","5","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","","","","","","Nej, No","","","","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","3","Nej (No)","","","Ja (Yes)","8","5","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","At blive afvist","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 10:21:24 PM GMT+2","Mand (Man)","44","16","Gift (Married","Nej (No)","8","9","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan;Gran Canaria ","10+","Søgt online (Searched online)","Nej (No)","Nej (No)","","Nej, No","","","","","","Ja (Yes)","5","3","Ja (Yes)","7","2","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","5","Ja (Yes)","9","9","Ja (Yes)","7","4","Ja (Yes)","6","5","Nej (No)","","","Ja (Yes)","5","2","Ja (Yes)","10","10","Ja (Yes)","7","2","Ja (Yes)","8","3","Ja (Yes)","9","2","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","4","Ja (Yes)","7","4","","Porno (porn);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 10:31:48 PM GMT+2","Mand (Man)","52","20","I et forhold (In a relationship)","Ja (yes)","8","8","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Nej (No)","","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan;Swingland;Dark Secret;CitySwingers;CitySwingers 2;Swingergaarden;Afrodite club","10+","Sociale medie (Social media)","Ja (Yes)","Nej (No)","","Ja, Yes","2-5","Sociale medie (Social media)","Ja (Yes)","Nej (No)","","Ja (Yes)","7","3","Nej (No)","","","Ja (Yes)","8","8","Nej (No)","","","Ja (Yes)","6","5","Ja (Yes)","8","8","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","10","Ja (Yes)","7","2","Ja (Yes)","9","4","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","4","Nej (No)","","","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 10:50:55 PM GMT+2","Kvinde (Woman)","22","17","Ser en fast, men vi har ikke titel ","Nej (No)","8","5","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","7","7","Ja (Yes)","7","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","1","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","3","","Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 10:53:06 PM GMT+2","Kvinde (Woman)","20","18","Single","Nej (No)","8","7","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Nej (No)","","Nej (No)","","","","","","","Nej, No","","","","","","Ja (Yes)","7","4","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","3","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","7","Ja (Yes)","9","9","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","9","","Medier - film, tv, osv. (Media - movies, TV, etc);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
"2022/06/02 10:53:51 PM GMT+2","Kvinde (Woman)","34","13","I et forhold (In a relationship)","Nej (No)","2","10","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan","2-5","Min partner eller en tidligere partner (My partner or a previous partner)","Ja (Yes)","Ja (Yes)","Man flytter grænser og udforsker","Nej, No","","","","","","Nej (No)","","","Ja (Yes)","9","3","Ja (Yes)","10","10","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","7","Ja (Yes)","10","4","Nej (No)","","","Ja (Yes)","10","2","Nej (No)","","","Ja (Yes)","9","4","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","4","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","Porno (porn);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners)",""
