"Timestamp","Køn (Gender) ","Alder (Age)","Nationalitet (Nationality) ","Bopælsland (Country of residence) ","Hvad er din civilstatus? (What is your relationship status?) ","Er du i et åbent forhold? (Are you in an open relationship?)","
Hvor længe har du været seksuelt aktiv? (How long have you been sexually active?)","Hvor tilfreds er du med dit sexliv? (How satisfied are you with your sex life?)","Hvor seksuelt eventyrlysten vil du sige, at du er? (How sexually adventurous would you say you are?)","I hvor høj grad betragter du dig selv som nysgerrig med hensyn til udforskning af seksuelle kinks? (To what extent do you consider yourself curious regarding exploration of sexual kinks?)","Onanerer du? (Do you masturbate?)","Hvor ofte plejer du at onanere? (How often do you usually masturbate?)","Ser du porno? (Do you watch porn?)","Hvor ofte ser du normalt porno? (How often do you usually watch porn?)","Har du nogensinde været i swingerklub? (Have you ever been to a swinger club?)","Sæt kryds ved alle du har besøgt. (Which one(s)? Check all that apply.)","Hvor mange gange har du været i swingerklub? (How many times have you been to a swinger club?) ","Hvordan fandt du klubben? (How did you find out about the club?) ","Ved dine venner at du swinger? ","Har klubben påvirket dine seksuelle interesser? (Has the club affected your sexual interests?)","Hvordan har det påvirket dine seksuelle interesser? (How as it affected your sexual interests?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Nyder du dette? (Do you enjoy this?) ","Hvor meget nyder du dette? (How much do you enjoy this?)","Hvor ofte gøre du det? (How often do you do it?)","Skriv eventuelle manglende kinks/interesser du har. (Write in any missing kinks/interests you participate in.) ","Nogle rapporterer, at de afholder sig fra at/ engagere sig i kink(s), de er interesserede i, fordi de føler, at det/de er et tabu. Beskriver dette også dig? (Some report that they refrain from engaging in kink(s) they are interested, in because they feel it/they are taboo. Does this describe you as well?)   ","Hvor tror du, dine seksuelle interesser kommer fra? (marker alt hvad der er relevant) (Where do you think your sexual interests have come from? (check all that apply))","Har dine seksuelle interesser ændret sig over tid? (Have your sexual interests changed over time?) ","Del venligst hvilke situationer eller tilfælde du mener har fået dine interesser til at udvikle sig (Share what situations or instances you believe have caused your interests to evolve.) ","Hvis du har andet du vil dele, eller kommentarer, kan du skrive dem her. (Any final thoughts you want to share?)"
"2022/11/03 7:13:39 PM GMT+1","Kvinde (Woman)","49","Dansk","Danmark","I et forhold (In a relationship)","Nej (No)","36 år","8","8","10","Ja (Yes)","En gang om måned (Once a month)","Nej (No)","","Ja (Yes)","Tucan;Dark Secret","10+","Min partner eller en tidligere partner (My partner or a previous partner)","Nej (No)","Nej (No)","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","8","Mindre end en gang om  (Less than once a year)","Ja (Yes)","7","Et par gange om året (A few times a year)","Ja (Yes)","10","Et par gange om året (A few times a year)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires)","Ja (Yes)","Submission",""
"2022/11/03 7:17:36 PM GMT+1","Mand (Man)","39","Da sk","Danmark","Gift (Married)","Ja (yes)","24","9","9","9","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan;Dark Secret;Afrodite club;Euroclub, Bella fantasia","10+","Søgt online (Searched online)","Ja (Yes)","Ja (Yes)","Når man åbner op så bliver man mere nysgerrig og inspireret ","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","8","Et par gange om året (A few times a year)","Ja (Yes)","9","Et par gange om året (A few times a year)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","9","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Swingerklub (Swinger club)","Ja (Yes)","",""
"2022/11/03 7:20:06 PM GMT+1","Kvinde (Woman)","42","Dansk","Danmark","I et forhold (In a relationship)","Ja (yes)","30 år","7","8","9","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Tucan;Dark Secret","6-10","Min partner eller en tidligere partner (My partner or a previous partner)","Ja (Yes)","Nej (No)","","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","10","Mindre end en gang om  (Less than once a year)","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","6","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","6","Et par gange om måneden (few times a month)","Ja (Yes)","6","En gang om måned (Once a month)","Ja (Yes)","5","Mindre end en gang om  (Less than once a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","En gang om måned (Once a month)","Nej (No)","","","Latex, dollification","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Medier - film, tv, osv. (Media - movies, TV, etc)","Ja (Yes)","Partner, blogs",""
"2022/11/03 7:27:22 PM GMT+1","Kvinde (Woman)","47","Dansk","Danmark ","I et forhold (In a relationship)","Ja (yes)","32 år","6","8","8","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om året (A few times a year)","Ja (Yes)","Dark Secret;Afrodite club","2-5","Venner (Friends)","Ja (Yes)","Ja (Yes)","Andres åbenhed om deres erfaringer og kinks, giver lyst til selv at udforske nye kinks","Ja (Yes)","10","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","7","Et par gange om året (A few times a year)","Ja (Yes)","7","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","5","Mindre end en gang om  (Less than once a year)","Nej (No)","","","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","8","Dagligt, næsten dagligt (Daily, almost daily)","Nej (No)","","","Ja (Yes)","9","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","8","Et par gange om året (A few times a year)","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Swingerklub (Swinger club)","Ja (Yes)","Jeg blev skilt og var single i 5 år. Og efter en god ven/legerelation ""vækkede"" mig igen, så genfandt jeg mit seksuelle væsen.",""
"2022/11/03 7:29:50 PM GMT+1","Mand (Man)","55","Dk","Dk","I et forhold (In a relationship)","Ja (yes)","40","5","10","1","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan;Dark Secret;Afrodite club;Joys","10+","Min partner eller en tidligere partner (My partner or a previous partner)","Ja (Yes)","Ja (Yes)","Det skaber en inspiration at se andre der udlever deres kinks","Ja (Yes)","10","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","10","En gang om måned (Once a month)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","10","Et par gange om året (A few times a year)","Ja (Yes)","7","Mindre end en gang om  (Less than once a year)","Ja (Yes)","8","En gang om måned (Once a month)","Ja (Yes)","6","Et par gange om året (A few times a year)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","9","Aldrig (Never)","Ja (Yes)","","Et par gange om året (A few times a year)","Ja (Yes)","9","Mindre end en gang om  (Less than once a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","Mindre end en gang om  (Less than once a year)","Ja (Yes)","8","Et par gange om året (A few times a year)","Nej (No)","","","Nåleleg","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Swingerklub (Swinger club)","Ja (Yes)","Det er vel bare en del af almindelig udvikling og lyst til at udforske nyt",""
"2022/11/03 7:33:52 PM GMT+1","Mand (Man)","33","Dansk","Danmark ","I et forhold (In a relationship)","Ja (yes)","I 14 år","5","8","7","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Swingland;Dark Secret;CitySwingers","10+","Søgt online (Searched online)","Nej (No)","Nej (No)","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","7","Mindre end en gang om  (Less than once a year)","Nej (No)","","","Ja (Yes)","6","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","5","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","8","Mindre end en gang om  (Less than once a year)","Ja (Yes)","9","Aldrig (Never)","Ja (Yes)","6","Aldrig (Never)","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","Stag/vixen, glory hole, dark room","Ja (Yes)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Swingerklub (Swinger club)","Ja (Yes)","Var i et forhold hvor hun var utro overfor mig. Det vækkede cuckold kinket",""
"2022/11/03 7:37:15 PM GMT+1","Kvinde (Woman)","45","Dansk","6541 bevtoft ","Gift (Married)","Nej (No)","30","9","9","9","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan","10+","Søgt online (Searched online)","Nej (No)","Ja (Yes)","Blever mere nysgerrig ","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","5","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","7","En gang om måned (Once a month)","Ja (Yes)","8","En gang om måned (Once a month)","Ja (Yes)","8","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","8","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Swingerklub (Swinger club)","Ja (Yes)","",""
"2022/11/03 7:37:33 PM GMT+1","Mand (Man)","38","Dansk ","Danmark ","Gift (Married)","Nej (No)","22 år","6","10","10","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Tucan;Dark Secret;EuroClub300 da den eksisterede","10+","Søgt online (Searched online)","Nej (No)","Ja (Yes)","Fået åbnet mine horisonter og prøvet grænser af","Ja (Yes)","9","En gang om måned (Once a month)","Ja (Yes)","10","Et par gange om året (A few times a year)","Ja (Yes)","7","Et par gange om året (A few times a year)","Ja (Yes)","8","Et par gange om året (A few times a year)","Ja (Yes)","9","Et par gange om året (A few times a year)","Ja (Yes)","6","Et par gange om året (A few times a year)","Ja (Yes)","8","Et par gange om året (A few times a year)","Ja (Yes)","5","Et par gange om året (A few times a year)","Ja (Yes)","8","Et par gange om året (A few times a year)","Ja (Yes)","9","Et par gange om året (A few times a year)","Ja (Yes)","7","En gang om måned (Once a month)","Ja (Yes)","10","Mindre end en gang om  (Less than once a year)","Ja (Yes)","9","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","Et par gange om året (A few times a year)","Ja (Yes)","7","Et par gange om året (A few times a year)","Nej (No)","","","Fejl i stag/Vixen da den henviser forkert hvis man svarer ja. Derfor har jeg svaret nej, men mener ja. 

Mener også bisex og bisex er et tema her. Jeg er binysgerrig, men har ikke taget mig mod til at tage springet, til trods for en partner der er åben og lige så nysgerrig for det","Ja (Yes)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Swingerklub (Swinger club)","Ja (Yes)","Nysgerrighed over for det ukendte har givet lysten til at udforske. Har i dag kun ganske få grænser, men mange Kinks og desires",""
"2022/11/03 7:37:43 PM GMT+1","Mand (Man)","47","DK","DK","I et forhold (In a relationship)","Ja (yes)","30 år ","9","8","9","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","En gang om måned (Once a month)","Ja (Yes)","Tucan;Dark Secret;CitySwingers 2;Afrodite club;Joys","10+","Nr 1 og 2 og 4","Ja (Yes)","Ja (Yes)","","Ja (Yes)","9","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","8","3-5 dage om ugen (3-5 days a week)","Nej (No)","","","Ja (Yes)","9","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","5","En gang om måned (Once a month)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","8","Et par gange om måneden (few times a month)","Ja (Yes)","8","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","8","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","6","Et par gange om måneden (few times a month)","Ja (Yes)","5","Et par gange om året (A few times a year)","Ja (Yes)","8","Et par gange om året (A few times a year)","Ja (Yes)","9","En gang om måned (Once a month)","Nej (No)","","","Ja (Yes)","8","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","9","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn)","Ja (Yes)","",""
"2022/11/03 7:38:50 PM GMT+1","Mand (Man)","41","DK","Gelsted","Gift (Married)","Nej (No)","25","10","8","10","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan;Swingland;Dark Secret;På Canaria","10+","Venner (Friends)","Ja (Yes)","Ja (Yes)","Det er svært at lave et kort svar. Men hypnose sex, BDSM, sex foran andre","Ja (Yes)","8","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","6","En gang om måned (Once a month)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","8","En gang om måned (Once a month)","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Ja (Yes)","8","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","8","Et par gange om året (A few times a year)","Ja (Yes)","10","3-5 dage om ugen (3-5 days a week)","Nej (No)","","","Hypnose. ","Ja (Yes)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Swingerklub (Swinger club)","Ja (Yes)","BDSM",""
"2022/11/03 7:39:12 PM GMT+1","Mand (Man)","66","Dansk","Danmark","Single","Nej (No)","54 år","10","10","1","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Tucan;Swingland;Dark Secret;CitySwingers 2;Swingergaarden;Afrodite club","10+","Venner (Friends)","Ja (Yes)","Ja (Yes)","Mine grænser er blevet rykket betragteligt","Ja (Yes)","7","Et par gange om året (A few times a year)","Ja (Yes)","10","Et par gange om året (A few times a year)","Ja (Yes)","10","En gang om måned (Once a month)","Ja (Yes)","10","Et par gange om året (A few times a year)","Ja (Yes)","10","En gang om måned (Once a month)","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","10","Et par gange om året (A few times a year)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","Mindre end en gang om  (Less than once a year)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","Blowjob og sperme i munden","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Swingerklub (Swinger club)","Ja (Yes)","Fra swingervenner, klubber samt dogging ","Mangler spmg vedr dogging og sex på strand om sommeren, som jeg nyder rigtig meget "
"2022/11/03 7:41:34 PM GMT+1","Mand (Man)","34","Dansk","Danmark","Single","Nej (No)","Siden 14 år","7","10","10","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","Tucan;Dark Secret;CitySwingers;CitySwingers 2;Joys","10+","Venner (Friends)","Ja (Yes)","Nej (No)","","Ja (Yes)","10","Dagligt, næsten dagligt (Daily, almost daily)","Nej (No)","","","Ja (Yes)","10","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","10","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","10","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","10","Dagligt, næsten dagligt (Daily, almost daily)","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","10","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","10","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","10","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","10","3-5 dage om ugen (3-5 days a week)","Nej (No)","","","Ja (Yes)","10","3-5 dage om ugen (3-5 days a week)","Nej (No)","","","Master/slave","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Bdsm klubber","Ja (Yes)","Besøg i bdsm klubber",""
"2022/11/03 7:42:21 PM GMT+1","Mand (Man)","53","Dansk","Danmark","Gift (Married)","Nej (No)","38 år","8","9","2","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","3-5 dage om ugen (3-5 days a week)","","Tucan;Swingland;Dark Secret;CitySwingers;CitySwingers 2;Swingergaarden;Afrodite club;Joys","10+","Søgt online (Searched online)","Nej (No)","Ja (Yes)","Afprøvet nogle ting som tidligere mest var fantasi","Ja (Yes)","9","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","9","Et par gange om året (A few times a year)","Nej (No)","","","Ja (Yes)","8","En gang om måned (Once a month)","Nej (No)","","","Ja (Yes)","7","En gang om måned (Once a month)","Ja (Yes)","9","En gang om måned (Once a month)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Ja (Yes)","9","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","En gang om måned (Once a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn)","Ja (Yes)","Se partner sexe med andre",""
"2022/11/03 7:54:16 PM GMT+1","Kvinde (Woman)","45","Dansk ","Danmark ","","Nej (No)","Siden jeg var 14år","8","9","8","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Et par gange om året (A few times a year)","Ja (Yes)","Dark Secret;Joys","6-10","Venner (Friends)","Ja (Yes)","Ja (Yes)","Fordi jeg har mødt nye bekendtskaber der har været med til at gøre mig mere nysgerrig. Og skab større nysgerrighed omkring BDSM. ","Ja (Yes)","5","En gang om måned (Once a month)","Ja (Yes)","9","Et par gange om året (A few times a year)","Ja (Yes)","6","En gang om måned (Once a month)","Ja (Yes)","8","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","3","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Ja (Yes)","6","En gang om måned (Once a month)","Ja (Yes)","4","Et par gange om året (A few times a year)","Ja (Yes)","5","Mindre end en gang om  (Less than once a year)","Ja (Yes)","5","En gang om måned (Once a month)","Nej (No)","","","Ja (Yes)","10","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","Nej (No)","","","","","","Fisting i skeden. ","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Swingerklub (Swinger club)","Ja (Yes)","Blev single og blev budt i en trekant og så har lyst og fantasien fortsat. Mødet med nye mennesker på Facebook. I swingermiljøet både i klub og privat har været med til at skubbe til mine lyster og tanker. ",""
"2022/11/03 8:00:53 PM GMT+1","Mand (Man)","47","Dansk ","Danmark ","Gift (Married)","Ja (yes)","28 år","9","8","8","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Et par gange om måneden (few times a month)","Ja (Yes)","Tucan;Swingland;Dark Secret;CitySwingers;CitySwingers 2;Swingergaarden","10+","Søgt online (Searched online)","Ja (Yes)","Ja (Yes)","Har fået interesse i Shibari og BDSM ","Ja (Yes)","8","En gang om måned (Once a month)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","Et par gange om året (A few times a year)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","9","En gang om måned (Once a month)","Ja (Yes)","9","En gang om måned (Once a month)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","Ja (Yes)","10","Et par gange om måneden (few times a month)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","Et par gange om året (A few times a year)","Ja (Yes)","9","Et par gange om måneden (few times a month)","Nej (No)","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Swingerklub (Swinger club)","Ja (Yes)","Første gang jeg så vores elsker med et andet par.
Det var så naturligt og smukt at jeg besluttede mig for at invitere ham med i vores leg... En beslutning jeg ALDRIG kommer til at fortryde.

Første gang jeg var sammen med vores elskerinde. Det var så vildt og dejligt at hele min selvopfattelse ændrede sig.

Da jeg blev hovedkulds forelsket i en ung kvinde og oplevede min kones medglæde og senere medsorg da forholdet sluttede. Jeg har aldrig følt mig mere elsket og forstod først der at jeg godt kunne finde mig til rette i polyamori.

Første gang vi så en lave Shibari. Det blev starten på et langt eventyr. ","Jeg har tre kvinder i mit liv, som rør mig og gør noget vidt forskelligt for mig seksuelt. Den ene ser vi også sammen. 
Og så har vi en mandlig elsker, som vi ser sammen.

Vi har været ekstremt heldige at finde fantastiske partnere som gør at vi dårligt kan forestille os et bedre liv. "
"2022/11/03 8:48:12 PM GMT+1","Kvinde (Woman)","32","Dansk","Danmark","I et forhold (In a relationship)","Ja (yes)","Siden jeg var 13","10","10","10","Ja (Yes)","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","Dark Secret","2-5","Venner (Friends)","Ja (Yes)","Ja (Yes)","Vil gerne prøve flere ting der lyder angst provokerende men allige vel super frække ","Ja (Yes)","10","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","10","3-5 dage om ugen (3-5 days a week)","Ja (Yes)","10","Dagligt, næsten dagligt (Daily, almost daily)","Ja (Yes)","10","Et par gange om måneden (few times a month)","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Ja (Yes)","10","Dagligt, næsten dagligt (Daily, almost daily)","Nej (No)","","","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","3-5 dage om ugen (3-5 days a week)","Nej (No)","","","Nej (No)","","","Ja (Yes)","10","1-2 dage om ugen (1-2 days a week)","Nej (No)","","","","Nej (No)","Mine egne tanker og lyster (My own thoughts and desires);Nuværende eller tidligere seksuelle partnere (Current or previous sexual partners);Porno (porn);Medier - film, tv, osv. (Media - movies, TV, etc);Swingerklub (Swinger club)","Ja (Yes)","Da jeg blev bundet med reb og besvimede der var jeg klar på mere ",""
